lat,lon,elevation
21.7967098,71.6689617,0
21.7967098,71.9189617,0
22.0467098,71.1689617,0
22.0467098,71.4189617,0
22.0467098,71.6689617,0
22.0467098,71.9189617,0
22.2967098,71.1689617,0
22.2967098,71.4189617,0
22.2967098,71.6689617,0
22.2967098,71.9189617,0
21.7176085,69.1578939,0
21.7176085,69.4078939,0
21.7176085,69.6578939,0
21.7176085,69.9078939,0
21.9676085,69.1578939,0
21.9676085,69.4078939,0
21.9676085,69.6578939,0
21.9676085,69.9078939,0
22.2176085,69.1578939,0
22.2176085,69.4078939,0
22.2176085,69.6578939,0
22.2176085,69.9078939,0
22.4676085,69.1578939,0
22.4676085,69.4078939,0
22.4676085,69.6578939,0
22.4676085,69.9078939,0
21.7143736,69.8834253,0
21.7143736,70.1334253,0
21.7143736,70.3834253,0
21.7143736,70.6334253,0
21.9643736,69.8834253,0
21.9643736,70.1334253,0
21.9643736,70.3834253,0
21.9643736,70.6334253,0
22.2143736,69.8834253,0
22.2143736,70.1334253,0
22.2143736,70.3834253,0
22.2143736,70.6334253,0
22.4643736,69.8834253,0
22.4643736,70.1334253,0
22.4643736,70.3834253,0
22.4643736,70.6334253,0
21.7424747,68.4671448,0
21.7424747,68.7171448,0
21.7424747,68.9671448,0
21.7424747,69.2171448,0
21.9924747,68.4671448,0
21.9924747,68.7171448,0
21.9924747,68.9671448,0
21.9924747,69.2171448,0
22.2424747,68.4671448,0
22.2424747,68.7171448,0
22.2424747,68.9671448,0
22.2424747,69.2171448,0
22.4924747,68.4671448,0
22.4924747,68.7171448,0
22.4924747,68.9671448,0
22.4924747,69.2171448,0
21.7412214,72.5855259,5
21.7412214,72.8355259,8
21.7412214,73.0855259,13
21.7412214,73.3355259,148
21.9912214,72.5855259,6
21.9912214,72.8355259,10
21.9912214,73.0855259,28
21.9912214,73.3355259,37
22.2412214,72.5855259,-3
22.2412214,72.8355259,4
22.2412214,73.0855259,30
22.2412214,73.3355259,36
22.4912214,72.5855259,15
22.4912214,72.8355259,32
22.4912214,73.0855259,28
22.4912214,73.3355259,68
21.8166806,72.1243126,8
21.8166806,72.3743126,-7
21.8166806,72.6243126,5
21.8166806,72.8743126,13
22.0666806,72.1243126,11
22.0666806,72.3743126,-16
22.0666806,72.6243126,7
22.0666806,72.8743126,14
22.3166806,72.1243126,9
22.3166806,72.3743126,-1
22.3166806,72.6243126,16
22.3166806,72.8743126,26
22.5666806,72.1243126,11
22.5666806,72.3743126,8
22.5666806,72.6243126,21
22.5666806,72.8743126,35
21.8598858,71.2169084,0
21.8598858,71.4669084,0
21.8598858,71.7169084,0
21.8598858,71.9669084,0
22.1098858,71.2169084,0
22.1098858,71.4669084,0
22.1098858,71.7169084,0
22.1098858,71.9669084,0
22.3598858,71.2169084,0
22.3598858,71.4669084,0
22.3598858,71.7169084,0
22.3598858,71.9669084,0
22.6098858,71.2169084,0
22.6098858,71.4669084,0
22.6098858,71.7169084,0
22.6098858,71.9669084,0
21.9516351,72.5671647,7
21.9516351,72.8171647,8
21.9516351,73.0671647,26
21.9516351,73.3171647,38
22.2016351,72.5671647,-1
22.2016351,72.8171647,9
22.2016351,73.0671647,29
22.2016351,73.3171647,36
22.4516351,72.5671647,11
22.4516351,72.8171647,30
22.4516351,73.0671647,39
22.4516351,73.3171647,53
22.7016351,72.5671647,20
22.7016351,72.8171647,33
22.7016351,73.0671647,49
22.7016351,73.3171647,59
22.0494312,70.9820838,0
22.0494312,71.2320838,0
22.0494312,71.4820838,0
22.0494312,71.7320838,0
22.2994312,70.9820838,0
22.2994312,71.2320838,0
22.2994312,71.4820838,0
22.2994312,71.7320838,0
22.5494312,70.9820838,0
22.5494312,71.2320838,0
22.5494312,71.4820838,0
22.5494312,71.7320838,0
22.7994312,70.9820838,0
22.7994312,71.2320838,0
22.7994312,71.4820838,0
22.7994312,71.7320838,0
22.0660006,71.2899425,0
22.0660006,71.5399425,0
22.0660006,71.7899425,0
22.0660006,72.0399425,7
22.3160006,71.2899425,0
22.3160006,71.5399425,0
22.3160006,71.7899425,0
22.3160006,72.0399425,12
22.5660006,71.2899425,0
22.5660006,71.5399425,0
22.5660006,71.7899425,0
22.5660006,72.0399425,10
22.8160006,71.2899425,0
22.8160006,71.5399425,0
22.8160006,71.7899425,0
22.8160006,72.0399425,5
22.7452165,71.9966223,0
22.7452165,72.2466223,12
22.7452165,72.4966223,20
22.7452165,72.7466223,28
22.9952165,71.9966223,0
22.9952165,72.2466223,29
22.9952165,72.4966223,41
22.9952165,72.7466223,48
23.2452165,71.9966223,0
23.2452165,72.2466223,44
23.2452165,72.4966223,72
23.2452165,72.7466223,81
23.4952165,71.9966223,0
